Turn: 86, cards: 19, with risk: 0
Turn: 96, cards: 20, with risk: 0
Turn: 91, cards: 22, with risk: 0
Turn: 86, cards: 20, with risk: 0
Turn: 93, cards: 20, with risk: 0
Turn: 88, cards: 19, with risk: 0
Turn: 91, cards: 21, with risk: 0
Turn: 88, cards: 18, with risk: 0
Turn: 90, cards: 18, with risk: 0
Turn: 86, cards: 22, with risk: 0
Turn: 83, cards: 21, with risk: 0
Turn: 87, cards: 20, with risk: 0
Turn: 102, cards: 19, with risk: 0
Turn: 91, cards: 19, with risk: 0
Turn: 81, cards: 23, with risk: 0
Turn: 95, cards: 19, with risk: 0
Turn: 91, cards: 19, with risk: 0
Turn: 94, cards: 21, with risk: 0
Turn: 86, cards: 23, with risk: 0
Turn: 89, cards: 22, with risk: 0
Turn: 89, cards: 17, with risk: 0
Turn: 90, cards: 19, with risk: 0
Turn: 89, cards: 20, with risk: 0
Turn: 85, cards: 21, with risk: 0
Turn: 87, cards: 17, with risk: 0
Turn: 84, cards: 20, with risk: 0
Turn: 92, cards: 17, with risk: 0
Turn: 89, cards: 17, with risk: 0
Turn: 87, cards: 21, with risk: 0
Turn: 90, cards: 18, with risk: 0
Turn: 88, cards: 24, with risk: 0
Turn: 89, cards: 18, with risk: 0
Turn: 89, cards: 18, with risk: 0
Turn: 83, cards: 20, with risk: 0
Turn: 93, cards: 20, with risk: 0
Turn: 83, cards: 22, with risk: 0
Turn: 88, cards: 22, with risk: 0
Turn: 88, cards: 20, with risk: 0
Turn: 79, cards: 21, with risk: 0
Turn: 83, cards: 22, with risk: 0
Turn: 87, cards: 19, with risk: 0
Turn: 92, cards: 17, with risk: 0
Turn: 86, cards: 21, with risk: 0
Turn: 86, cards: 18, with risk: 0
Turn: 90, cards: 22, with risk: 0
Turn: 97, cards: 18, with risk: 0
Turn: 87, cards: 21, with risk: 0
Turn: 88, cards: 20, with risk: 0
Turn: 88, cards: 17, with risk: 0
Turn: 87, cards: 21, with risk: 0
Turn: 85, cards: 20, with risk: 0
Turn: 86, cards: 22, with risk: 0
Turn: 90, cards: 23, with risk: 0
Turn: 83, cards: 24, with risk: 0
Turn: 92, cards: 19, with risk: 0
Turn: 87, cards: 18, with risk: 0
Turn: 87, cards: 22, with risk: 0
Turn: 93, cards: 16, with risk: 0
Turn: 91, cards: 16, with risk: 0
Turn: 96, cards: 14, with risk: 0
Turn: 87, cards: 17, with risk: 0
Turn: 89, cards: 18, with risk: 0
Turn: 93, cards: 22, with risk: 0
Turn: 86, cards: 23, with risk: 0
Turn: 85, cards: 23, with risk: 0
Turn: 84, cards: 22, with risk: 0
Turn: 88, cards: 22, with risk: 0
Turn: 86, cards: 21, with risk: 0
Turn: 91, cards: 22, with risk: 0
Turn: 89, cards: 21, with risk: 0
Turn: 87, cards: 21, with risk: 0
Turn: 85, cards: 22, with risk: 0
Turn: 89, cards: 21, with risk: 0
Turn: 86, cards: 22, with risk: 0
Turn: 88, cards: 22, with risk: 0
Turn: 88, cards: 20, with risk: 0
Turn: 91, cards: 19, with risk: 0
Turn: 92, cards: 18, with risk: 0
Turn: 91, cards: 17, with risk: 0
Turn: 90, cards: 18, with risk: 0
Turn: 85, cards: 21, with risk: 0
Turn: 88, cards: 19, with risk: 0
Turn: 93, cards: 16, with risk: 0
Turn: 91, cards: 19, with risk: 0
Turn: 89, cards: 22, with risk: 0
Turn: 91, cards: 20, with risk: 0
Turn: 83, cards: 22, with risk: 0
Turn: 85, cards: 22, with risk: 0
Turn: 89, cards: 18, with risk: 0
Turn: 90, cards: 18, with risk: 0
Turn: 86, cards: 18, with risk: 0
Turn: 85, cards: 19, with risk: 0
Turn: 81, cards: 24, with risk: 0
Turn: 81, cards: 25, with risk: 0
Turn: 85, cards: 22, with risk: 0
Turn: 98, cards: 19, with risk: 0
Turn: 86, cards: 23, with risk: 0
Turn: 90, cards: 18, with risk: 0
Turn: 89, cards: 22, with risk: 0
Turn: 85, cards: 16, with risk: 0
